"Informazioni cronologiche","Quanti anni hai?","Sesso?","Hai mai svolto la professione di Personal Trainer/istruttore in una palestra oppure online?","Fornisci i programmi di allenamento ai clienti che segui? Se sì, come li fornisci?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Segui i progressi prestazionali dei tuoi clienti? Se sì, come li registri?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Effettui le comunicazioni di servizio riguardanti la palestra ai tuoi clienti? Se sì, come?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo metodo?","Dai consigli ai tuoi clienti riguardo l'alimentazione da seguire?","Ti sei mai allenato in palestra?","Con che frequenza ti alleni?","In che modo organizzi il tuo allenamento?","Per quale motivo vai in palestra?","Su che supporto segui il tuo programma di allenamento?","In riferimento alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Perché?","L'istruttore ti ha mai dato consigli riguardo l'alimentazione da seguire?","Porti il tuo smartphone in palestra?","Se porti il tuo smartphone in palestra, quanto pensi sia utile ai fini dell'allenamento?","Nella tua palestra riesci a connetterti ad internet?","Hai mai avuto bisogno che qualcuno ti spiegasse come usare uno specifico attrezzo in palestra? Se sì, a chi hai chiesto?","Registri i tuoi progressi prestazionali? Se sì, in che modo?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?","Hai mai sentito la necessità di registrare/vedere i tuoi progressi prestazionali?","In che modo vorresti visualizzare i tuoi progressi?","In che modo ricevi comunicazioni riguardanti la palestra?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?"
"2019/11/11 12:42:50 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Ci sono andato poche volte, non necessito di palestra per i miei allenamenti ","","","","","Sì, ma lo lascio in borsa","1","Non lo so","Foglietto illustrativo di cui ogni attrezzo è dotato","Orologio sportivo","6","","","","Non ricevo comunicazioni","",""
"2019/11/13 6:46:31 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare;Per svago","Su una scheda cartacea","3","Ingombra essendo composta di 4 fogli","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/13 7:21:27 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia forza","","","","","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, ad amici","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/13 9:01:57 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia forza","Su una scheda cartacea","3","","No","Sì, ma lo lascio in borsa","2","Sì","Sì, all'istruttore","Sì, uso un supporto cartaceo","3","","","","Non ricevo comunicazioni","",""
"2019/11/18 10:07:14 AM CET","20 anni o meno","Femmina","Si, in palestra","Si, fornisco delle schede di allenamento cartacee","6","","Usando un supporto fisico (ad esempio su fogli di carta)","6","","Si, tramite Whatsapp o Telegram","5","Sì","","","","","","","","","","","","","","","","","","","",""
"2019/11/18 10:07:30 AM CET","Tra i 21 e i 30 anni","Maschio","Si, in palestra","Si, fornisco delle schede di allenamento cartacee","6","","Non seguo i progressi dei miei clienti","","","Si, esponendo un avviso in palestra","4","Sì","","","","","","","","","","","","","","","","","","","",""
"2019/11/18 10:09:29 AM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","Gestisco il mio allenamento autonomamente","Come integrazione ad un'altra attività sportiva esterna alla palestra","","","","","Sì, ma lo lascio in borsa","","Sì","Sì, ad amici","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/18 10:53:28 AM CET","Tra i 21 e i 30 anni","Maschio","Si, in palestra","Si, tramite messaggio per telefono","5","Vorrei un app specifica","Usando un supporto fisico (ad esempio su fogli di carta)","2","","Si, esponendo un avviso in palestra","2","No","","","","","","","","","","","","","","","","","","","",""
"2019/11/18 10:54:41 AM CET","Tra i 21 e i 30 anni","Maschio","Si, in palestra","Si, fornisco delle schede di allenamento cartacee","4","","Usando un supporto fisico (ad esempio su fogli di carta)","6","","No, non fornisco comunicazioni riguardo la palestra","","No","","","","","","","","","","","","","","","","","","","",""
"2019/11/18 12:06:50 PM CET","Tra i 21 e i 30 anni","Maschio","Si, in palestra","Si, fornisco delle schede di allenamento cartacee","7","Spiegherei meglio la biomeccanica dell'esercizio","Usando un supporto fisico (ad esempio su fogli di carta)","2","Vorrei avere più dati ","Si, esponendo un avviso in palestra","4","No","","","","","","","","","","","","","","","","","","","",""
"2019/11/18 2:01:04 PM CET","Tra i 21 e i 30 anni","Femmina","Si, in palestra","No, non fornisco i programmi di allenamento ai clienti","","","Non seguo i progressi dei miei clienti","","","Si, esponendo un avviso in palestra","5","Sì","","","","","","","","","","","","","","","","","","","",""
"2019/11/23 12:31:08 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","Sono andata in palestra solo un paio di volte e preferisco il nuoto","Per mantenere la forma fisica;Sono andata in palestra solo un paio di volte, preferisco il nuoto","","","","","No, non possiedo uno smartphone","1","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/24 11:09:53 AM CET","Tra i 41 e i 50 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/24 11:31:58 AM CET","Tra i 41 e i 50 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","2","Non lo so","Sì, all'istruttore","No, non li registro","3","","No","","Non ricevo comunicazioni","",""
"2019/11/24 2:07:03 PM CET","Tra i 41 e i 50 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","7","Perché non amo andare in palestra con il cellulare un pezzo di carta lo porto dove voglio","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","Sì, Il mio personal trainer li registra per me","7","Ho un confronto diretto con una persona esperta","","","Tramite un Social Network (ad esempio Facebook)","5",""
"2019/11/25 10:43:07 PM CET","Tra i 31 e i 40 anni","Femmina","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Seguo un corso offerto dalla palestra","","","","","Sì, lo porto con me durante gli esercizi","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","Tramite messaggio per telefono","",""
"2019/11/25 11:11:54 PM CET","Tra i 41 e i 50 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/25 11:20:55 PM CET","Tra i 41 e i 50 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","3","","No","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","6","il programma registra in automatico","","","Leggendo gli avvisi esposti in palestra","3","Preferirei un messaggio sul telefono"
"2019/11/26 11:37:00 AM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per svago","Sullo smartphone","6","","Sì","Sì, ma lo lascio in borsa","1","No","Sì, all'istruttore","No, non li registro","","","Sì","Su di una comoda app","Tramite un Social Network (ad esempio Facebook)","5",""
"2019/11/26 12:19:24 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Come integrazione ad un'altra attività sportiva esterna alla palestra","L'istruttore mi segue esercizio per esercizio","7","","Sì","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","7",""
"2019/12/06 1:47:16 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","L'istruttore mi segue esercizio per esercizio","7","","Sì","Sì, lo porto con me durante gli esercizi","1","Non lo so","Sì, all'istruttore","Sì, Il mio personal trainer li registra per me","6","","","","Tramite un Social Network (ad esempio Facebook)","5",""
